Designer,Name,Link,Photo,Category,Price,Projects,Hearts
Rebecca Danger,#23 Harriet the Haberd...,http://www.ravelry.com/patterns/library/23-harriet-the-haberdashery-hippo,http://images4.ravelrycache.com/uploads/rebeccadanger/71039946/harriet_small.jpg,Softies,Free,280,755
Rebecca Danger,Frances The Charismati...,http://www.ravelry.com/patterns/library/frances-the-charismatic-monster,http://farm4.static.flickr.com/3630/3372654529_af22ccc98b_m.jpg,Softies,$6.00,258,518
Rebecca Danger,Lurleen the Laundry Mo...,http://www.ravelry.com/patterns/library/lurleen-the-laundry-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52060272/lurleen_small.jpg,Softies,Free,255,68
Rebecca Danger,Bea the Basement Monster,http://www.ravelry.com/patterns/library/bea-the-basement-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52069408/bea_small.jpg,Softies,Free,240,132
Rebecca Danger,Geet the Garage Monster,http://www.ravelry.com/patterns/library/geet-the-garage-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52061116/geet_small.jpg,Softies,Free,230,94
Rebecca Danger,Sammie the Sock Monster,http://www.ravelry.com/patterns/library/sammie-the-sock-monster,http://farm3.static.flickr.com/2425/3941660481_73f5da54c0_m.jpg,Softies,$6.00,227,646
Rebecca Danger,Gort the Gym Bag Monster,http://www.ravelry.com/patterns/library/gort-the-gym-bag-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52067744/gort_small.jpg,Softies,Free,226,163
Rebecca Danger,Toothy Joe the Mailbox...,http://www.ravelry.com/patterns/library/toothy-joe-the-mailbox-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52068537/toothyjoe_small.jpg,Softies,Free,191,131
Rebecca Danger,Tofu the Gentle Dachshund,http://www.ravelry.com/patterns/library/tofu-the-gentle-dachshund,http://farm4.static.flickr.com/3603/3639657464_a2f9a5aa28_m.jpg,Softies,$6.00,190,1107
Rebecca Danger,Petunia the Patio Monster,http://www.ravelry.com/patterns/library/petunia-the-patio-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52064241/petunia_small.jpg,Softies,Free,186,62
Rebecca Danger,Charlie the ceiling Mo...,http://www.ravelry.com/patterns/library/charlie-the-ceiling-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52061745/charlie_small.jpg,Softies,Free,176,43
Rebecca Danger,Gabby the Garden Monster,http://www.ravelry.com/patterns/library/gabby-the-garden-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52064696/gabby_small.jpg,Softies,Free,166,45
Rebecca Danger,Angus the Attic Monster,http://www.ravelry.com/patterns/library/angus-the-attic-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52059034/angus_small.jpg,Softies,Free,162,44
Rebecca Danger,Olivia the Audacious M...,http://www.ravelry.com/patterns/library/olivia-the-audacious-monster,http://farm4.static.flickr.com/3351/3431216203_94406c843f_m.jpg,Softies,$6.00,162,453
Rebecca Danger,Kat the Kitchen Monster,http://www.ravelry.com/patterns/library/kat-the-kitchen-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/52070310/kat_small.jpg,Softies,Free,157,39
Rebecca Danger,Albert the Absent-Mind...,http://www.ravelry.com/patterns/library/albert-the-absent-minded-monster,http://farm4.static.flickr.com/3576/3326744182_9c8283d705_m.jpg,Softies,$6.00,155,345
Rebecca Danger,Chadwick the Shakespea...,http://www.ravelry.com/patterns/library/chadwick-the-shakespearean-caterpillar,http://images4.ravelrycache.com/uploads/rebeccadanger/91481730/caterpillar1_small_best_fit.jpg,Softies,$1.99,140,615
Rebecca Danger,Presley Cash the Monster,http://www.ravelry.com/patterns/library/presley-cash-the-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/63459486/Presley1_small.JPG,Softies,$6.00,140,235
Rebecca Danger,Wasabi the Gregarious Pug,http://www.ravelry.com/patterns/library/wasabi-the-gregarious-pug,http://farm4.static.flickr.com/3544/3511728910_ccb8da80fa_m.jpg,Softies,$6.00,133,800
Rebecca Danger,Terence the Tap Dancin...,http://www.ravelry.com/patterns/library/terence-the-tap-dancing-t-rex,http://images4-b.ravelrycache.com/uploads/rebeccadanger/105263697/trexs1_small_best_fit.jpg,Softies,$6.00,131,591
Rebecca Danger,Ursula and Uma the Und...,http://www.ravelry.com/patterns/library/ursula-and-uma-the-understanding-monsters,http://images4.ravelrycache.com/uploads/rebeccadanger/45711896/uandu3_small.JPG,Softies,$6.00,128,301
Rebecca Danger,Claude the Closet Monster,http://www.ravelry.com/patterns/library/claude-the-closet-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/52071768/claude_small.jpg,Softies,Free,121,62
Rebecca Danger,Napoleon the Nervous N...,http://www.ravelry.com/patterns/library/napoleon-the-nervous-narwhal,http://farm3.static.flickr.com/2499/4174993226_b37a4c1bb9_m.jpg,Softies,$6.00,116,686
Rebecca Danger,Chester the Bashful Bunny,http://www.ravelry.com/patterns/library/chester-the-bashful-bunny,http://farm4.static.flickr.com/3614/3392405409_f5989f6ed0_m.jpg,Softies,$6.00,114,621
Rebecca Danger,Robbie the Radiant Robot,http://www.ravelry.com/patterns/library/robbie-the-radiant-robot,http://farm4.static.flickr.com/3609/3573867875_16ba63d91b_m.jpg,Softies,$6.00,109,815
Rebecca Danger,Quincy Quade Quentin a...,http://www.ravelry.com/patterns/library/quincy-quade-quentin-a-very-memorable-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/29926966/quincys1_small.jpg,Softies,$6.00,95,387
Rebecca Danger,Herman The Enigmatic Bear,http://www.ravelry.com/patterns/library/herman-the-enigmatic-bear,http://farm4.static.flickr.com/3388/3248347356_40690036ff_m.jpg,Softies,$6.00,88,387
Rebecca Danger,Sherman the Square Dan...,http://www.ravelry.com/patterns/library/sherman-the-square-dancing-stegosaurus,http://images4-b.ravelrycache.com/uploads/rebeccadanger/108591258/steggies1_small_best_fit.jpg,Softies,$6.00,85,506
Rebecca Danger,#25 Corbin the Creativ...,http://www.ravelry.com/patterns/library/25-corbin-the-creative-monster,http://images4.ravelrycache.com/uploads/rebeccadanger/71039569/corbin_small.jpg,Softies,Free,84,117
Rebecca Danger,Zeke the Aloof Alpaca,http://www.ravelry.com/patterns/library/zeke-the-aloof-alpaca,http://images4-b.ravelrycache.com/uploads/rebeccadanger/26698474/zekes5_small.jpg,Softies,$6.00,77,777
Rebecca Danger,Melvin the Musical Mon...,http://www.ravelry.com/patterns/library/melvin-the-musical-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/64797288/Melvin01_small_best_fit.jpeg,Softies,Free,65,221
Rebecca Danger,Esther the Eccentric E...,http://www.ravelry.com/patterns/library/esther-the-eccentric-elephant,http://farm3.static.flickr.com/2497/4056064351_fd088a6c99_m.jpg,Softies,$6.00,61,363
Rebecca Danger,#24 Malcolm the Monday...,http://www.ravelry.com/patterns/library/24-malcolm-the-monday-monster,http://images4-b.ravelrycache.com/uploads/rebeccadanger/71039442/malcolm_small.jpg,Softies,Free,56,82
Rebecca Danger,Randolph the Raccoon,http://www.ravelry.com/patterns/library/randolph-the-raccoon,http://images4-b.ravelrycache.com/uploads/MaryleeK/85923708/Randolph_the_Raccoon_300_small_best_fit.jpg,Softies,Free,48,717
Rebecca Danger,Beatrice and Bernard T...,http://www.ravelry.com/patterns/library/beatrice-and-bernard-the-inseparable-bunny-and-bear,http://farm4.static.flickr.com/3440/3293867109_3ce2813774_m.jpg,Softies,$6.00,47,283
Rebecca Danger,Monster Mobile,http://www.ravelry.com/patterns/library/monster-mobile,http://images4.ravelrycache.com/uploads/sarahmartingale/115291086/b1137_09_small_best_fit.jpg,Mobile,Free,47,632
Rebecca Danger,Mortimer the Dog Toy,http://www.ravelry.com/patterns/library/mortimer-the-dog-toy,http://images4.ravelrycache.com/uploads/purly-queen/41556637/mortimer1_small.JPG,Softies,Free,43,423
Rebecca Danger,Henry and Henrietta,http://www.ravelry.com/patterns/library/henry-and-henrietta,http://images4-b.ravelrycache.com/uploads/rebeccadanger/65617980/henry_01_small_best_fit.jpg,Softies,Free,38,574
Rebecca Danger,Olive the Monster Chri...,http://www.ravelry.com/patterns/library/olive-the-monster-christmas-tree-ornament,http://images4-b.ravelrycache.com/uploads/KnitPurlPDX/43682009/K04165-10_small.jpg,Decorative,$1.00,30,150
Rebecca Danger,Xavier the Observant Owl,http://www.ravelry.com/patterns/library/xavier-the-observant-owl,http://images4-b.ravelrycache.com/uploads/rebeccadanger/151651621/owl2_small_best_fit.jpg,Softies,$6.00,29,297
Rebecca Danger,Vinny V,http://www.ravelry.com/patterns/library/vinny-v,http://images4.ravelrycache.com/uploads/sarahmartingale/115297996/b1137_12_small_best_fit.jpg,Toys and Hobbies,Free,26,153
Rebecca Danger,Owen the Monster Chris...,http://www.ravelry.com/patterns/library/owen-the-monster-christmas-tree-ornament,http://images4.ravelrycache.com/uploads/KnitPurlPDX/43677992/K04165-09_small.jpg,Decorative,$1.00,24,149
Rebecca Danger,Giles the Giraffe,http://www.ravelry.com/patterns/library/giles-the-giraffe,http://images4.ravelrycache.com/uploads/MaryleeK/75301867/11198_Giles_300_small_best_fit.jpg,Softies,Free,23,143
Rebecca Danger,Monster Face Hat,http://www.ravelry.com/patterns/library/monster-face-hat,http://images4.ravelrycache.com/uploads/sarahmartingale/115285141/b1137_03_small.jpg,Hat,Free,22,171
Rebecca Danger,Pointy Monster Hat,http://www.ravelry.com/patterns/library/pointy-monster-hat,http://images4-b.ravelrycache.com/uploads/sarahmartingale/115285966/b1137_04_small_best_fit.jpg,Hat,Free,22,35
Rebecca Danger,Cuddly Monster Blankie,http://www.ravelry.com/patterns/library/cuddly-monster-blankie,http://images4-b.ravelrycache.com/uploads/sarahmartingale/115287159/b1137_06_small_best_fit.jpg,Blanket,Free,20,263
Rebecca Danger,Monster Booties,http://www.ravelry.com/patterns/library/monster-booties-3,http://images4.ravelrycache.com/uploads/sarahmartingale/115284470/b1137_02_small_best_fit.jpg,Feet / Legs,Free,20,256
Rebecca Danger,Bob the Blue-Footed Booby,http://www.ravelry.com/patterns/library/bob-the-blue-footed-booby,http://images4.ravelrycache.com/uploads/rebeccadanger/117177977/bbfb9_small.JPG,Softies,$6.00,19,247
Rebecca Danger,Pocket Blankie with Mo...,http://www.ravelry.com/patterns/library/pocket-blankie-with-monster-friend,http://images4.ravelrycache.com/uploads/sarahmartingale/115287924/b1137_08_small.jpg,Blanket,Free,15,86
Rebecca Danger,Snuggly Monster Blanki...,http://www.ravelry.com/patterns/library/snuggly-monster-blankie-friend,http://images4-b.ravelrycache.com/uploads/sarahmartingale/115286450/b1137_05_small_best_fit.jpg,Blanket,Free,13,44
Rebecca Danger,Monster Bookends,http://www.ravelry.com/patterns/library/monster-bookends,http://images4-b.ravelrycache.com/uploads/sarahmartingale/115298663/b1137_14_small.jpg,Home,Free,11,211
Rebecca Danger,Monster Pillows,http://www.ravelry.com/patterns/library/monster-pillows,http://images4.ravelrycache.com/uploads/sarahmartingale/115298995/b1137_15_small.jpg,Pillow,Free,9,222
Rebecca Danger,Frankie,http://www.ravelry.com/patterns/library/frankie-9,http://images4-b.ravelrycache.com/uploads/sarahmartingale/115298234/b1137_13_small_best_fit.jpg,Toys and Hobbies,Free,8,59
Rebecca Danger,Monster Rattles,http://www.ravelry.com/patterns/library/monster-rattles-2,http://images4.ravelrycache.com/uploads/sarahmartingale/115931110/9781604681499_PT20_small.jpg,Toys and Hobbies,Free,8,95
Rebecca Danger,Monster Pocket Sweater,http://www.ravelry.com/patterns/library/monster-pocket-sweater,http://images4.ravelrycache.com/uploads/sarahmartingale/115283911/b1137_01_small_best_fit.jpg,Sweater,Free,7,47
Rebecca Danger,Roscoe Monster,http://www.ravelry.com/patterns/library/roscoe-monster,http://images4-b.ravelrycache.com/uploads/sarahmartingale/115293358/b1137_11_small_best_fit.jpg,Toys and Hobbies,Free,6,55
Rebecca Danger,Monster Blocks,http://www.ravelry.com/patterns/library/monster-blocks,http://images4-b.ravelrycache.com/uploads/sarahmartingale/115930532/9781604681499_PT19_small.jpg,Blocks,Free,5,136
Rebecca Danger,Monster Tissue and Wip...,http://www.ravelry.com/patterns/library/monster-tissue-and-wipes-box-covers,http://images4-b.ravelrycache.com/uploads/sarahmartingale/115299395/b1137_16_small_best_fit.jpg,Cozy,Free,5,176
Rebecca Danger,Monster Swings,http://www.ravelry.com/patterns/library/monster-swings,http://images4.ravelrycache.com/uploads/sarahmartingale/115292304/b1137_10_small_best_fit.jpg,Mobile,Free,4,113
Rebecca Danger,Stack O' Monsters,http://www.ravelry.com/patterns/library/stack-o-monsters,http://images4-b.ravelrycache.com/uploads/sarahmartingale/115930058/9781604681499_PT18_small.jpg,Game,Free,4,179
Rebecca Danger,Monster Chair,http://www.ravelry.com/patterns/library/monster-chair,http://images4-b.ravelrycache.com/uploads/sarahmartingale/115929460/9781604681499_PT17_small_best_fit.jpg,Pillow,Free,0,143
Cookie A,Monkey,http://www.ravelry.com/patterns/library/monkey,http://images4-b.ravelrycache.com/uploads/Cookie/43390612/monkey_1_small.jpg,Feet / Legs,$6.00,16747,10414
Cookie A,Pomatomus,http://www.ravelry.com/patterns/library/pomatomus,http://farm1.static.flickr.com/40/123815955_83905aa2f7_m.jpg,Feet / Legs,Free,4388,7155
Cookie A,Hedera,http://www.ravelry.com/patterns/library/hedera,http://images4.ravelrycache.com/uploads/Cookie/43390488/hedera_1_small.jpg,Feet / Legs,$6.00,3898,5371
Cookie A,Kai-Mei ,http://www.ravelry.com/patterns/library/kai-mei,http://images4-b.ravelrycache.com/uploads/LisaQ2008/6575339/kai-mei1_small_best_fit.jpg,Feet / Legs,Free,2504,2515
Cookie A,BFF Socks,http://www.ravelry.com/patterns/library/bff-socks,http://images4.ravelrycache.com/uploads/Cookie/43390209/bff_1_small.jpg,Feet / Legs,$6.00,1476,2791
Cookie A,Angee,http://www.ravelry.com/patterns/library/angee,http://images4.ravelrycache.com/uploads/LisaQ2008/6507144/Angee1_small_best_fit.jpg,Feet / Legs,Free,1299,633
Cookie A,Baudelaire,http://www.ravelry.com/patterns/library/baudelaire,http://images4-b.ravelrycache.com/uploads/casey/153924290/www.knitty.com-baudelairealt2_small_best_fit.jpg,Feet / Legs,Free,1273,4017
Cookie A,Wanida ,http://www.ravelry.com/patterns/library/wanida,http://images4-b.ravelrycache.com/uploads/LisaQ2008/6507905/wanida1_small_best_fit.jpg,Feet / Legs,Free,1038,658
Cookie A,Sunshine,http://www.ravelry.com/patterns/library/sunshine-11,http://images4-b.ravelrycache.com/uploads/LisaQ2008/6381045/Sunshine1_small_best_fit.jpg,Feet / Legs,Free,994,783
Cookie A,Rick,http://www.ravelry.com/patterns/library/rick,http://images4.ravelrycache.com/uploads/LisaQ2008/6583695/Rick1_small_best_fit.jpg,Feet / Legs,Free,843,704
Cookie A,Twisted Flower Sock,http://www.ravelry.com/patterns/library/twisted-flower-sock,http://images4-b.ravelrycache.com/uploads/Cookie/43388722/twisted_flower_1_small.jpg,Feet / Legs,$6.50,803,2707
Cookie A,Cauchy,http://www.ravelry.com/patterns/library/cauchy,http://images4.ravelrycache.com/uploads/LisaQ2008/6571874/cauchy_small_best_fit.jpg,Feet / Legs,Free,754,427
Cookie A,Pointelle,http://www.ravelry.com/patterns/library/pointelle,http://images4-b.ravelrycache.com/uploads/Cookie/43402565/pointelle_1_small.jpg,Feet / Legs,$6.50,735,2197
Cookie A,Glynis,http://www.ravelry.com/patterns/library/glynis,http://images4.ravelrycache.com/uploads/LisaQ2008/6380792/Glynis1_small_best_fit.jpg,Feet / Legs,Free,721,462
Cookie A,Vilai,http://www.ravelry.com/patterns/library/vilai,http://images4-b.ravelrycache.com/uploads/LisaQ2008/6506542/Vilai_small_best_fit.jpg,Feet / Legs,Free,721,575
Cookie A,#03 Marlene,http://www.ravelry.com/patterns/library/03-marlene,http://farm4.static.flickr.com/3229/3121763162_7ef4ba9418_m.jpg,Feet / Legs,Free,710,3111
Cookie A,Eunice,http://www.ravelry.com/patterns/library/eunice,http://images4-b.ravelrycache.com/uploads/LisaQ2008/6380958/Eunice1_small_best_fit.jpg,Feet / Legs,Free,645,577
Cookie A,Thelonious Sock,http://www.ravelry.com/patterns/library/thelonious-sock,http://images4-b.ravelrycache.com/uploads/Cookie/43390016/thelonious_3_small.jpg,Feet / Legs,$6.50,570,918
Cookie A,Mona,http://www.ravelry.com/patterns/library/mona,http://images4-b.ravelrycache.com/uploads/Cookie/43389844/mona_1_small.jpg,Feet / Legs,$6.50,482,308
Cookie A,Clandestine,http://www.ravelry.com/patterns/library/clandestine,http://images4-b.ravelrycache.com/uploads/Cookie/13864897/clandestine3_small.jpg,Feet / Legs,$6.00,474,2200
Cookie A,Marilinda,http://www.ravelry.com/patterns/library/marilinda,http://images4-b.ravelrycache.com/uploads/Cookie/43388588/marilinda_3_small.jpg,Feet / Legs,$6.50,474,921
Cookie A,Wedge,http://www.ravelry.com/patterns/library/wedge-2,http://images4-b.ravelrycache.com/uploads/Cookie/43409605/wedge_3_small.jpg,Feet / Legs,$6.50,463,996
Cookie A,Cookie A's Summer Sox ...,http://www.ravelry.com/patterns/library/cookie-as-summer-sox-socks,http://images4.ravelrycache.com/uploads/SbutterAMfly/9764046/cookie3_small.jpg,Feet / Legs,Free,459,2494
Cookie A,Devon,http://www.ravelry.com/patterns/library/devon-4,http://images4.ravelrycache.com/uploads/LisaQ2008/6381153/Devon1_small_best_fit.jpg,Feet / Legs,Free,441,335
Cookie A,Cubist Socks,http://www.ravelry.com/patterns/library/cubist-socks,http://images4.ravelrycache.com/uploads/Liana/50321488/23_small.jpg,Feet / Legs,Free,422,2140
Cookie A,Stricken,http://www.ravelry.com/patterns/library/stricken,http://images4-b.ravelrycache.com/uploads/Cookie/43390070/stricken_1_small.jpg,Feet / Legs,$6.50,369,1390
Cookie A,Bex,http://www.ravelry.com/patterns/library/bex,http://images4-b.ravelrycache.com/uploads/LisaQ2008/6544131/bex2_small_best_fit.jpg,Feet / Legs,Free,340,765
Cookie A,In and Out,http://www.ravelry.com/patterns/library/in-and-out,http://images4-b.ravelrycache.com/uploads/Cookie/43401991/in_and_out_1_small.jpg,Feet / Legs,$6.50,331,454
Cookie A,Lindsay,http://www.ravelry.com/patterns/library/lindsay-2,http://images4-b.ravelrycache.com/uploads/LisaQ2008/6573682/lindsay_small_best_fit.jpg,Feet / Legs,Free,325,237
Cookie A,Sam,http://www.ravelry.com/patterns/library/sam-5,http://images4.ravelrycache.com/uploads/LisaQ2008/6508779/sam_small_best_fit.jpg,Feet / Legs,Free,323,352
Cookie A,MAY 2010 SKA Mystery Sock,http://www.ravelry.com/patterns/library/may-2010-ska-mystery-sock,http://farm5.static.flickr.com/4132/4966181875_28b6b8b85e_m.jpg,Feet / Legs,Free,319,244
Cookie A,Rhombus,http://www.ravelry.com/patterns/library/rhombus-3,http://images4.ravelrycache.com/uploads/Cookie/43403406/rhombus_1_small.jpg,Feet / Legs,$6.50,315,750
Cookie A,Milo,http://www.ravelry.com/patterns/library/milo-2,http://images4.ravelrycache.com/uploads/LisaQ2008/6573125/Milo2_small_best_fit.jpg,Feet / Legs,Free,312,275
Cookie A,Twinkle Toes - Archived,http://www.ravelry.com/patterns/library/twinkle-toes---archived,http://farm1.static.flickr.com/229/461335676_fc5e20a2b7_m.jpg,Feet / Legs,Free,288,1782
Cookie A,Cusp,http://www.ravelry.com/patterns/library/cusp,http://images4-b.ravelrycache.com/uploads/Cookie/43401059/cusp_1_small.jpg,Feet / Legs,$6.50,286,489
Cookie A,Lissajous Socks,http://www.ravelry.com/patterns/library/lissajous-socks,http://images4.ravelrycache.com/uploads/Cookie/12766070/lissajous_back_rgb_small.jpg,Feet / Legs,$7.00,286,1633
Cookie A,Maelstrom,http://www.ravelry.com/patterns/library/maelstrom,http://images4-b.ravelrycache.com/uploads/juliafc/1371397/2705928561_4e040150ef_o_small.jpg,Feet / Legs,Free,269,1274
Cookie A,Haleakala,http://www.ravelry.com/patterns/library/haleakala-2,http://images4.ravelrycache.com/uploads/Cookie/56468037/haleakala_versions_2_small_best_fit.jpg,Feet / Legs,$6.50,263,1229
Cookie A,Stalagmite,http://www.ravelry.com/patterns/library/stalagmite,http://images4-b.ravelrycache.com/uploads/Cookie/43407125/stalagmite_1_small.jpg,Feet / Legs,$6.50,241,479
Cookie A,Mingus Sock,http://www.ravelry.com/patterns/library/mingus-sock,http://farm3.static.flickr.com/2379/2173060002_fff35fa555_m.jpg,Feet / Legs,$6.50,236,1077
Cookie A,German Stocking,http://www.ravelry.com/patterns/library/german-stocking,http://images4.ravelrycache.com/uploads/Cookie/43388993/german_stockings_1_small.jpg,Feet / Legs,$6.50,230,1482
Cookie A,Gothic Spire Sock,http://www.ravelry.com/patterns/library/gothic-spire-sock,http://images4-b.ravelrycache.com/uploads/Cookie/43389338/gothic_spire_2_small.jpg,Feet / Legs,$6.50,208,685
Cookie A,Ernie,http://www.ravelry.com/patterns/library/ernie,http://images4-b.ravelrycache.com/uploads/GoldenIris/147034801/Y_front_1_small_best_fit.jpg,Feet / Legs,Free,205,65
Cookie A,Kristi,http://www.ravelry.com/patterns/library/kristi,http://images4.ravelrycache.com/uploads/LisaQ2008/6573960/kristi_small_best_fit.jpg,Feet / Legs,Free,205,237
Cookie A,Elm,http://www.ravelry.com/patterns/library/elm-3,http://images4.ravelrycache.com/uploads/Cookie/80668573/elm_small.jpg,Feet / Legs,Free,190,620
Cookie A,Sake,http://www.ravelry.com/patterns/library/sake-2,http://images4-b.ravelrycache.com/uploads/Cookie/43405215/sake_1_small.jpg,Feet / Legs,$6.50,188,480
Cookie A,Red Herring,http://www.ravelry.com/patterns/library/red-herring,http://farm1.static.flickr.com/66/178617900_751cd6e144_m.jpg,Feet / Legs,Free,169,1247
Cookie A,Asymmetrical Cables,http://www.ravelry.com/patterns/library/asymmetrical-cables,http://images4-b.ravelrycache.com/uploads/Cookie/67809606/master_socks_small.jpg,Feet / Legs,Free,168,249
Cookie A,Raven Swirl Socks,http://www.ravelry.com/patterns/library/raven-swirl-socks,http://farm5.static.flickr.com/4017/4412952159_58ca4a0655_m.jpg,Feet / Legs,Free,168,261
Cookie A,Newton,http://www.ravelry.com/patterns/library/newton,http://images4-b.ravelrycache.com/uploads/GoldenIris/147034434/X_Back_1_small_best_fit.jpg,Feet / Legs,Free,163,50
Cookie A,Ellington Socks,http://www.ravelry.com/patterns/library/ellington-socks,http://farm3.static.flickr.com/2618/3875543890_27ae586686_m.jpg,Feet / Legs,$6.50,147,1952
Cookie A,Boysenberry Yo,http://www.ravelry.com/patterns/library/boysenberry-yo,http://images4-b.ravelrycache.com/uploads/Cookie/101060908/Boysenberry_Yo_top_small.jpg,Feet / Legs,$6.50,143,327
Cookie A,Nanaimo socks,http://www.ravelry.com/patterns/library/nanaimo-socks,http://images4.ravelrycache.com/uploads/Cookie/100333250/Nanaimo_front_rug_small.jpg,Feet / Legs,$6.50,135,114
Cookie A,Trystero,http://www.ravelry.com/patterns/library/trystero,http://farm3.static.flickr.com/2374/2277586097_463cf56729_m.jpg,Feet / Legs,$6.50,135,748
Cookie A,Katrina Rib,http://www.ravelry.com/patterns/library/katrina-rib,http://farm1.static.flickr.com/85/256677914_cdad38f2e0_m.jpg,Sweater,Free,130,2677
