Designer,Photo,Name,Category,Primary source, Date available,Projects,<3
Ysolda Teague,,Lee, Hat,Knitting Daily Free Patterns,2011,141,2527
Ysolda Teague,,Briar Rose Bolero, Shrug,Ysolda, July 2007,135,1925
Ysolda Teague,,Ariel Scarf, Scarf,Ysolda, December 2006,130,1263
Ysolda Teague,,Last Minute Stockings, Home,Ysolda, November 2008,123,583
Ysolda Teague,,Barley Sugar, Shawl/Wrap,Saturday Treat,2012,119,945
Ysolda Teague,,Melia, Cardigan,Little Red in the City, June 2011,111,1940
Ysolda Teague,,Cotton Reel Mittens, Mittens/Gloves,Whimsical Little Knits 2, October 2009,98,675
Ysolda Teague,,Pear Drop, Shawl/Wrap,Saturday Treat,2012,98,1159
Ysolda Teague,,Nathaniel, Home,Whimsical Little Knits 2, October 2009,93,301
Ysolda Teague,,Blank Canvas, Pullover,Ysolda, February 2013,92,3092
Ysolda Teague,,Matilda Jane, Cardigan,Ysolda, April 2007,90,1698
Ysolda Teague,,Skelf, Pullover,Little Red in the City, June 2011,88,827
Ysolda Teague,,Sherilyn, Shawl/Wrap,Whimsical Little Knits 3,2012,83,990
Ysolda Teague,,Farinelli, Mittens/Gloves,twist collective Winter 2009, November 2009,82,1542
Ysolda Teague,,Estella, Hat,Ysolda, October 2007,73,382
Ysolda Teague,,Almond Comfit, Hat,Saturday Treat,2012,65,332
Ysolda Teague,,Belle, Hat,"Snippets #8, The DIY Issue", November 2007,65,1266
Ysolda Teague,,Oxidize, Hat,Whimsical Little Knits 3, November 2011,63,597
Ysolda Teague,,#06 Rapunzel Stockings, Socks,"Knit.1, Fall/Winter 2008", December 2008,51,1213
Ysolda Teague,,wee mushrooms, Toys,Whimsical Little Knits 2, August 2009,43,506
Ysolda Teague,,Heart & Sole, Socks,SOCK(topus)CLUB 2009, July 2009,42,23
Ysolda Teague,,Narwhal Mittens, Mittens/Gloves,Whimsical Little Knits 3,2012,42,638
Ysolda Teague,,Hendreary, Hat,Whimsical Little Knits 3,2012,39,355
Ysolda Teague,,Slip Stitch Beret, Hat,Knit Red: Stitching for Women's Heart Health, June 2012,32,546
Ysolda Teague,,Through the Keyhole, Pullover,twist collective fall 2008, August 2008,30,718
Ysolda Teague,,Sherman, Socks,Whimsical Little Knits 3,2012,28,273
Ysolda Teague,,Vintage Buttons Gloves, Mittens/Gloves,Whimsical Little Knits 3,2012,28,856
Ysolda Teague,,Roisin, Scarf,Whimsical Little Knits 3, September 2011,26,518
Ysolda Teague,,Sherbet Lemon, Mittens/Gloves,Saturday Treat,2012,25,406
Ysolda Teague,,Edinburgh Rock, Scarf,Saturday Treat,2012,24,186
Ysolda Teague,,Apocalypse Tree Hoodie, Cardigan,Ysolda, April 2007,23,509
Ysolda Teague,,Fiddler Mitts, Mittens/Gloves,My Grandmother's Knitting: Family Stories and Inspired Knits from Top Designers, September 2011,21,525
Ysolda Teague,,Stripy, Pullover,Ysolda, October 2007,21,1702
Ysolda Teague,,Trinket, Toys,Whimsical Little Knits 3,2012,20,334
Ysolda Teague,,Walnut Whip, Hat,Saturday Treat,2012,15,159
Ysolda Teague,,Ariel, Tee,"Yarn Forward Magazine No. 1, Autumn 2006", August 2006,10,59
Rebecca Danger,,Name,Category,Primary source, Date available,Projects,<3
Rebecca Danger,,Bunny Nuggets, Toys,Rebecca Danger's Blog, April 2009,2390,10560
Rebecca Danger,,Monster Chunks, Toys,Rebecca Danger's Blog, July 2009,1434,5928
Rebecca Danger,,Daphne and Delilah the Momma and Baby Monster, Toys,Danger Crafts Etsy Shop, July 2009,1160,4579
Rebecca Danger,,Chubby Chirps, Toys,Rebecca Danger's Blog, February 2011,1103,7365
Rebecca Danger,,Jerry the Musical Monkey, Toys,Danger Crafts Etsy Shop, March 2011,1026,2609
Rebecca Danger,,Penelope the Empathetic Monster, Toys,Danger Crafts Etsy Shop, April 2009,902,2638
Rebecca Danger,,Maddox The Mischievous Monster, Toys,Danger Crafts Etsy Shop, February 2009,614,1197
Rebecca Danger,,Hugo the Couch Potato Monster, Toys,The Big Book of Knitted Monsters,2011,575,442
Rebecca Danger,,Dot the Dress Up Box Monster, Toys,The Big Book of Knitted Monsters,2011,557,650
Rebecca Danger,,Irving the Icebox Monster, Toys,The Big Book of Knitted Monsters,2011,443,232
Rebecca Danger,,Iris the Gourmet Monster, Toys,Lorna's Laces,2010,442,679
Rebecca Danger,,Baldwin the Bathroom Monster, Toys,The Big Book of Knitted Monsters,2011,423,158
Rebecca Danger,,Harold the Houseplant Monster, Toys,The Big Book of Knitted Monsters,2011,377,176
Rebecca Danger,,"Holly, Ivy and Steve Three Christmas Hooligan Ornaments", Home,Danger Crafts Etsy Shop, October 2010,374,1449
Rebecca Danger,,Cecil the Computer Monster, Toys,The Big Book of Knitted Monsters, January 2011,370,254
Rebecca Danger,,Louie the Lovebot, Toys,Knit Picks Website, December 2010,365,1767
Rebecca Danger,,Coco the Canister Monster, Toys,The Big Book of Knitted Monsters,2011,347,106
Rebecca Danger,,Greta the Captivating Cat, Toys,Danger Crafts Etsy Shop, August 2009,327,931
Rebecca Danger,,Tony the Toy-Box Monster, Toys,The Big Book of Knitted Monsters,2011,302,126
Rebecca Danger,,"Leila, Lydia, and Lucas the Momma and Baby Monsters", Toys,The Big Book of Knitted Monsters,2011,293,165
Rebecca Danger,,Basil the Boogie-Woogie Brontosaurus, Toys,Danger Crafts Etsy Shop, April 2012,285,3380
Rebecca Danger,,#23 Harriet the Haberdashery Hippo, Toys,"Knit Simple Magazine, Fall 2011", July 2011,280,754
Rebecca Danger,,Frances The Charismatic Monster, Toys,Danger Crafts Etsy Shop, March 2009,257,518
Rebecca Danger,,Lurleen the Laundry Monster, Toys,The Big Book of Knitted Monsters,2011,252,68
Rebecca Danger,,Bea the Basement Monster, Toys,The Big Book of Knitted Monsters,2011,238,131
Rebecca Danger,,Geet the Garage Monster, Toys,The Big Book of Knitted Monsters,2011,230,94
Rebecca Danger,,Sammie the Sock Monster, Toys,Danger Crafts Etsy Shop, September 2009,227,645
Rebecca Danger,,Gort the Gym Bag Monster, Toys,The Big Book of Knitted Monsters,2011,226,161
Rebecca Danger,,Toothy Joe the Mailbox Monster, Toys,The Big Book of Knitted Monsters,2011,191,130
Rebecca Danger,,Tofu the Gentle Dachshund, Toys,Danger Crafts Etsy Shop, June 2009,189,1107
Rebecca Danger,,Petunia the Patio Monster, Toys,The Big Book of Knitted Monsters,2011,186,62
Rebecca Danger,,Charlie the ceiling Monster, Toys,The Big Book of Knitted Monsters,2011,174,43
Rebecca Danger,,Gabby the Garden Monster, Toys,The Big Book of Knitted Monsters,2011,166,45
Rebecca Danger,,Olivia the Audacious Monster, Toys,Danger Crafts Etsy Shop, April 2009,162,452
Rebecca Danger,,Angus the Attic Monster, Toys,The Big Book of Knitted Monsters,2011,158,44
Rebecca Danger,,Kat the Kitchen Monster, Toys,The Big Book of Knitted Monsters,2011,156,40
Rebecca Danger,,Albert the Absent-Minded Monster, Toys,Danger Crafts Etsy Shop, March 2009,155,345
Rebecca Danger,,Presley Cash the Monster, Toys,Danger Crafts Etsy Shop, May 2011,140,235
Rebecca Danger,,Chadwick the Shakespearean Caterpillar, Toys,Knit Picks Website, February 2012,139,610
Rebecca Danger,,Wasabi the Gregarious Pug, Toys,Danger Crafts Etsy Shop, April 2009,133,799
Rebecca Danger,,Terence the Tap Dancing T-Rex, Toys,Danger Crafts Etsy Shop, May 2012,129,587
Rebecca Danger,,Ursula and Uma the Understanding Monsters, Toys,Scarlet Fleece, June 2010,129,300
Rebecca Danger,,Claude the Closet Monster, Toys,The Big Book of Knitted Monsters,2011,120,62
Rebecca Danger,,Napoleon the Nervous Narwhal, Toys,Danger Crafts Etsy Shop, December 2009,116,681
Rebecca Danger,,Chester the Bashful Bunny, Toys,Danger Crafts Etsy Shop, March 2009,114,620
Rebecca Danger,,Robbie the Radiant Robot, Toys,Danger Crafts Etsy Shop, May 2009,108,816
Rebecca Danger,,Quincy Quade Quentin a Very Memorable Monster, Toys,Danger Crafts Etsy Shop, June 2010,95,384
Rebecca Danger,,Herman The Enigmatic Bear, Toys,Danger Crafts Etsy Shop, February 2009,88,387
Rebecca Danger,,Sherman the Square Dancing Stegosaurus, Toys,Danger Crafts Etsy Shop, June 2012,85,496
Rebecca Danger,,#25 Corbin the Creative Monster, Toys,"Knit Simple Magazine, Fall 2011", July 2011,84,115
Rebecca Danger,,Zeke the Aloof Alpaca, Toys,Danger Crafts Etsy Shop, April 2010,77,777
Rebecca Danger,,Melvin the Musical Monster, Toys,"10 Secrets of the LaidBack Knitters: A Guide to Holistic Knitting, Yarn, and Life", May 2011,65,218
Rebecca Danger,,Esther the Eccentric Elephant, Toys,Danger Crafts Etsy Shop, October 2009,61,363
Rebecca Danger,,#24 Malcolm the Monday Monster, Toys,"Knit Simple Magazine, Fall 2011", July 2011,56,81
Rebecca Danger,,Beatrice and Bernard The Inseparable Bunny and Bear, Toys,Danger Crafts Etsy Shop, February 2009,47,283
Rebecca Danger,,Randolph the Raccoon, Toys,"Creative Knitting, March 2012", March 2012,46,713
Rebecca Danger,,Monster Mobile, Toys,Knit a Monster Nursery, November 2012,45,622
Rebecca Danger,,Mortimer the Dog Toy, Toys,Purls of Wisdom, October 2010,43,421
Rebecca Danger,,Henry and Henrietta, Toys,"Petite Purls, Issue 9 Summer 2011", June 2011,38,572
Rebecca Danger,,Olive the Monster Christmas Tree Ornament, Home,Knit Purl, October 2010,30,149
Rebecca Danger,,Vinny V, Toys,Knit a Monster Nursery, November 2012,26,149
Rebecca Danger,,Owen the Monster Christmas Tree Ornament, Home,Knit Purl, October 2010,24,148
Rebecca Danger,,Giles the Giraffe, Toys,"Creative Knitting, November 2011", November 2011,23,142
Rebecca Danger,,Xavier the Observant Owl, Toys,Danger Crafts Etsy Shop, March 2013,23,290
Rebecca Danger,,Monster Face Hat, Child,Knit a Monster Nursery, November 2012,22,169
Rebecca Danger,,Pointy Monster Hat, Child,Knit a Monster Nursery, November 2012,21,35
Rebecca Danger,,Monster Booties, Socks,Knit a Monster Nursery, November 2012,20,253
Rebecca Danger,,Bob the Blue-Footed Booby, Toys,Danger Crafts Etsy Shop, August 2012,19,244
Rebecca Danger,,Cuddly Monster Blankie, Blanket,Knit a Monster Nursery, November 2012,19,259
Rebecca Danger,,Pocket Blankie with Monster Friend, Blanket,Knit a Monster Nursery, November 2012,15,85
Rebecca Danger,,Snuggly Monster Blankie Friend, Blanket,Knit a Monster Nursery, November 2012,12,42
Rebecca Danger,,Monster Bookends, Home,Knit a Monster Nursery, November 2012,11,210
Rebecca Danger,,Frankie, Toys,Knit a Monster Nursery, November 2012,8,58
Rebecca Danger,,Monster Rattles, Toys,Knit a Monster Nursery, November 2012,8,95
Rebecca Danger,,Monster Pillows, Home,Knit a Monster Nursery, November 2012,7,219
Rebecca Danger,,Monster Pocket Sweater, Baby,Knit a Monster Nursery, November 2012,6,45
Rebecca Danger,,Monster Tissue and Wipes Box Covers, Home,Knit a Monster Nursery, November 2012,5,175
Rebecca Danger,,Roscoe Monster, Toys,Knit a Monster Nursery, November 2012,5,55
Rebecca Danger,,Stack O' Monsters, Toys,Knit a Monster Nursery, November 2012,4,178
Rebecca Danger,,Monster Blocks, Toys,Knit a Monster Nursery, November 2012,3,134
Rebecca Danger,,Monster Swings, Toys,Knit a Monster Nursery, November 2012,3,112
Rebecca Danger,,Monster Chair, Home,Knit a Monster Nursery, November 2012,,142
Jared Flood,,Turn A Square, Hat,Brooklyn Tweed, July 2008,13715,18744
Jared Flood,,Noro Striped Scarf, Scarf,Brooklyn Tweed, May 2007,12213,14719
Jared Flood,,Koolhaas, Hat,Brooklyn Tweed, October 2007,7366,12795
Jared Flood,,Hemlock Ring Blanket, Blanket,Brooklyn Tweed, August 2007,5384,15785
Jared Flood,,Cobblestone Pullover, Pullover,Brooklyn Tweed, July 2007,2654,7325
Jared Flood,,Habitat, Hat,Brooklyn Tweed, October 2010,2493,7475
Jared Flood,,Rock Island, Shawl/Wrap,Brooklyn Tweed, April 2011,2378,17277
Jared Flood,,Girasole, Shawl/Wrap,Brooklyn Tweed, December 2008,2117,8501
Jared Flood,,Guernsey Wrap, Scarf,Brooklyn Tweed, October 2010,1582,8825
Jared Flood,,Juneberry Triangle, Shawl/Wrap,Brooklyn Tweed, April 2010,1393,9812
Jared Flood,,Quincy, Hat,"Classic Elite #9108, Made in Brooklyn", August 2009,1326,3402
Jared Flood,,Umaro, Blanket,Brooklyn Tweed, November 2010,1254,13107
Jared Flood,,Tweed Baby Blanket, Blanket,Brooklyn Tweed, June 2009,1084,4999
Jared Flood,,#03 Green Autumn (Druid Mittens), Mittens/Gloves,"Vogue Knitting, Fall 2008", August 2008,1015,4969
Jared Flood,,Porom, Hat,Brooklyn Tweed, September 2008,1013,3306
Jared Flood,,Terra, Shawl/Wrap,Brooklyn Tweed, October 2010,1004,6453
Jared Flood,,Rosebud, Hat,BT FALL 11, September 2011,970,4382
Jared Flood,,Wool Leaves, Blanket,Brooklyn Tweed,2010,968,8602
Jared Flood,,Grove, Mittens/Gloves,"Classic Elite #9108, Made in Brooklyn", July 2009,756,5368
Jared Flood,,Shale Baby Blanket, Blanket,Brooklyn Tweed, October 2010,594,5770
Jared Flood,,Bridgewater, Shawl/Wrap,"Classic Elite #9108, Made in Brooklyn", July 2009,544,3873
Jared Flood,,Cinder, Scarf,Brooklyn Tweed, July 2010,516,5668
Jared Flood,,Laurel, Hat,Brooklyn Tweed, August 2009,452,2671
Jared Flood,,Brownstone, Pullover,Brooklyn Tweed, March 2011,444,3959
Jared Flood,,Ptarmigan, Shawl/Wrap,Brooklyn Tweed, May 2010,441,3174
Jared Flood,,Wayfarer, Scarf,Brooklyn Tweed, October 2010,434,2807
Jared Flood,,Fortnight, Hat,Brooklyn Tweed, April 2011,427,2124
Jared Flood,,Smokin', Cardigan,Son of Stitch 'n Bitch: 45 Projects to Knit and Crochet for Men, October 2007,410,3261
Jared Flood,,Beaumont Tam, Hat,"Classic Elite #9108, Made in Brooklyn", August 2009,402,2855
Jared Flood,,Dryad, Scarf,Brooklyn Tweed, April 2010,389,3611
Jared Flood,,Celes, Scarf,Brooklyn Tweed, September 2010,372,4215
Jared Flood,,Romney Kerchief, Shawl/Wrap,Brooklyn Tweed, February 2011,371,3546
Jared Flood,,Autumn Leaves Stole, Scarf,Brooklyn Tweed, October 2010,362,3651
Jared Flood,,Morningside Neckwarmer, Shawl/Wrap,Classic Elite Yarns Web-Letter, September 2008,319,2604
Jared Flood,,Quill, Shawl/Wrap,Brooklyn Tweed Spring Thaw, March 2012,279,4629
Jared Flood,,Seneca, Pullover,"Classic Elite #9108, Made in Brooklyn", July 2009,258,4337
Jared Flood,,Urban Aran Cardigan, Cardigan,Brooklyn Tweed, April 2006,256,3360
Jared Flood,,Tinder, Cardigan,BT FALL 11, September 2011,229,3384
Jared Flood,,Red Light Special, Hat,Brooklyn Tweed, December 2006,219,1877
Jared Flood,,Almeara Gloves, Mittens/Gloves,"Vogue Knitting, Winter 2008/09",2009,211,1497
Jared Flood,,Redhook, Tank/Camisole,"Classic Elite #9108, Made in Brooklyn", August 2009,209,1850
Jared Flood,,Willoughby, Scarf,Brooklyn Tweed, August 2009,205,2377
Jared Flood,,Stilwell, Pullover,"Classic Elite #9108, Made in Brooklyn", August 2009,201,2461
Jared Flood,,Pavement, Scarf,Brooklyn Tweed,2011,198,2297
Jared Flood,,Wanderer Cap, Hat,Weekend Hats, October 2011,196,376
Jared Flood,,Leaves of Grass, Shawl/Wrap,The LOFT Collection, November 2011,185,2730
Jared Flood,,Seasons Hat, Hat,Brooklyn Tweed Spring Thaw, March 2012,181,1608
Jared Flood,,Alberta, Vest,Brooklyn Tweed, February 2009,178,1717
Jared Flood,,Adult Tomten Jacket, Jacket,Brooklyn Tweed, October 2007,172,3755
Jared Flood,,Woodsmoke Scarf, Scarf,Brave New Knits, September 2010,172,2292
Jared Flood,,Ranger, Cardigan,BT FALL 11, September 2011,167,2472
Jared Flood,,The Scholar Collar, Other,Brooklyn Tweed, July 2007,147,702
Jared Flood,,#05 Relm, Hat,"Knit.1, Fall/Winter 2008", December 2008,143,944
Jared Flood,,Fenimore, Hat,Brooklyn Tweed, December 2010,139,1268
Jared Flood,,Woodruff, Mittens/Gloves,Brooklyn Tweed, October 2010,139,1136
Jared Flood,,Inversion Cardigan, Cardigan,Brooklyn Tweed Spring Thaw, March 2012,122,2241
Jared Flood,,Irving, Hat,BT FALL 11, September 2011,112,794
Jared Flood,,Rockaway, Jacket,"Classic Elite #9108, Made in Brooklyn", August 2009,100,1192
Jared Flood,,Setzer, Shawl/Wrap,Brooklyn Tweed, April 2011,100,1305
Jared Flood,,Beaumont Beanie, Hat,"Classic Elite #9108, Made in Brooklyn", August 2009,96,1357
Jared Flood,,Huron, Pullover,"Classic Elite #9108, Made in Brooklyn", August 2009,94,1115
Jared Flood,,Stonecrop, Scarf,The LOFT Collection, November 2011,88,1990
Jared Flood,,Guernsey Triangle, Shawl/Wrap,BT Winter 13, July 2012,86,2503
Jared Flood,,Farthing, Scarf,The LOFT Collection, November 2011,80,1208
Jared Flood,,Strago, Mittens/Gloves,Brooklyn Tweed, November 2010,67,930
Jared Flood,,Sempervivum, Shawl/Wrap,BT FALL 12, September 2012,57,1500
Jared Flood,,Metropolitan, Hat,"Classic Elite #9108, Made in Brooklyn", August 2009,48,487
Jared Flood,,Ramona Sweater, Pullover,Sensual Knits,2008,47,805
Jared Flood,,Eternity Cardigan, Cardigan,BT FALL 12, September 2012,45,2339
Jared Flood,,Ninian, Hat,BT FALL 11, September 2011,45,761
Jared Flood,,Permafrost, Shawl/Wrap,The LOFT Collection, November 2011,44,1002
Jared Flood,,Flint, Mittens/Gloves,BT FALL 11, September 2011,41,544
Jared Flood,,Guilder, Scarf,BT FALL 12, September 2012,38,956
Jared Flood,,Breton, Pullover,BT FALL 12, September 2012,36,1356
Jared Flood,,Grettir, Pullover,BT Winter 13, February 2013,29,1477
Jared Flood,,Chinook, Mittens/Gloves,Brooklyn Tweed Spring Thaw, March 2012,27,592
Jared Flood,,Forge, Hat,BT FALL 12, September 2012,27,330
Jared Flood,,Talon Throw, Blanket,Brooklyn Tweed Spring Thaw, March 2012,25,1252
Jared Flood,,Nero, Scarf,BT FALL 11, September 2011,22,708
Jared Flood,,Huxley, Vest,BT FALL 11, September 2011,21,607
Jared Flood,,Tilden Hat, Child,My Grandmother's Knitting: Family Stories and Inspired Knits from Top Designers, September 2011,18,448
Jared Flood,,Carlisle, Mittens/Gloves,The LOFT Collection, November 2011,17,376
Jared Flood,,Strago, Socks,The Knitter's Book of Socks, October 2011,17,175
Jared Flood,,Altair, Hat,BT Winter 13, February 2013,16,679
Jared Flood,,Alpine Tweed, Cardigan,The Knitter's Handy Book of Top-Down Sweaters: Basic Designs in Multiple Sizes and Gauges, August 2012,15,257
Jared Flood,,Canape, Hat,"Classic Elite #9122, Bistro", July 2010,14,306
Jared Flood,,Feathercrest, Mittens/Gloves,Knit Real Shetland: 15 Knitting Projects in Real Shetland Wool, October 2011,14,402
Jared Flood,,Convoy, Shawl/Wrap,Brooklyn Tweed Spring Thaw, March 2012,13,502
Jared Flood,,Cypress, Tee,BT Winter 13, February 2013,13,895
Jared Flood,,Barrington Vest, Vest,Brooklyn Tweed Spring Thaw, March 2012,12,774
Jared Flood,,Pike's Mitts, Mittens/Gloves,Knit Local, November 2011,10,306
Jared Flood,,Muir, Hat,BT FALL 11, September 2011,8,87
Jared Flood,,Northlight Mittens, Mittens/Gloves,St-Denis Magazine Issue 3, May 2011,6,609
Jared Flood,,Ives, Pullover,BT Winter 13, February 2013,4,484
Jared Flood,,Jared Flood Comfort Square, Other,"The Knitter, Issue 10", September 2009,3,117
Cookie A,,Monkey, Socks,Knit. Sock. Love., December 2006,16716,10384
Cookie A,,Pomatomus, Socks,"Knitty, Winter 2005", December 2005,4374,7133
Cookie A,,Hedera, Socks,Knit. Sock. Love., February 2006,3887,5363
Cookie A,,Kai-Mei, Socks,Sock Innovation, April 2009,2495,2511
Cookie A,,BFF Socks, Socks,Knit. Sock. Love., October 2006,1470,2770
Cookie A,,Angee, Socks,Sock Innovation, April 2009,1297,630
Cookie A,,Baudelaire, Socks,"Knitty, Summer 2006", June 2006,1270,4005
Cookie A,,Wanida, Socks,Sock Innovation, April 2009,1037,655
Cookie A,,Sunshine, Socks,Sock Innovation, April 2009,994,779
Cookie A,,Rick, Socks,Sock Innovation, April 2009,841,702
Cookie A,,Twisted Flower Sock, Socks,Knit. Sock. Love., November 2010,799,2697
Cookie A,,Cauchy, Socks,Sock Innovation, April 2009,751,424
Cookie A,,Pointelle, Socks,Knit. Sock. Love., November 2010,723,2178
Cookie A,,Glynis, Socks,Sock Innovation, April 2009,722,462
Cookie A,,Vilai, Socks,Sock Innovation, April 2009,720,574
Cookie A,,#03 Marlene, Socks,"Knit.1, Fall/Winter 2008", December 2008,711,3110
Cookie A,,Eunice, Socks,Sock Innovation, April 2009,642,576
Cookie A,,Thelonious Sock, Socks,Knit. Sock. Love., November 2010,569,913
Cookie A,,Mona, Socks,Knit. Sock. Love., November 2010,475,307
Cookie A,,Clandestine, Socks,Knit. Sock. Love., September 2009,474,2196
Cookie A,,Marilinda, Socks,Knit. Sock. Love., June 2007,473,915
Cookie A,,Wedge, Socks,Knit. Sock. Love., November 2010,460,990
Cookie A,,Cookie A's Summer Sox Socks, Socks,Classic Elite Yarns Web-Letter, June 2009,458,2485
Cookie A,,Devon, Socks,Sock Innovation, April 2009,441,333
Cookie A,,Cubist Socks, Socks,Knitting Daily Free Patterns, May 2010,419,2122
Cookie A,,Stricken, Socks,Knit. Sock. Love., February 2008,366,1383
Cookie A,,Bex, Socks,Sock Innovation, April 2009,337,764
Cookie A,,In and Out, Socks,Knit. Sock. Love., November 2010,330,453
Cookie A,,Lindsay, Socks,Sock Innovation, April 2009,324,237
Cookie A,,Sam, Socks,Sock Innovation, April 2009,322,351
Cookie A,,MAY 2010 SKA Mystery Sock, Socks,Sock Knitters Anonymous, May 2010,320,243
Cookie A,,Rhombus, Socks,Knit. Sock. Love., November 2010,314,744
Cookie A,,Milo, Socks,Sock Innovation, April 2009,311,274
Cookie A,,Twinkle Toes - Archived, Socks,Knitty Gritty, April 2007,287,1778
Cookie A,,Lissajous Socks, Socks,Knit. Sock. Love., August 2008,286,1633
Cookie A,,Cusp, Socks,Knit. Sock. Love., November 2010,285,488
Cookie A,,Maelstrom, Socks,Cookie A. Knitwear Designs, August 2008,269,1269
Cookie A,,Haleakala, Socks,Cookie A Sock Club 2011, February 2011,263,1228
Cookie A,,Stalagmite, Socks,Knit. Sock. Love., November 2010,239,475
Cookie A,,Mingus Sock, Socks,Cookie A. Knitwear Designs, January 2008,236,1077
Cookie A,,German Stocking, Socks,Knit. Sock. Love., November 2010,230,1477
Cookie A,,Gothic Spire Sock, Socks,Knit. Sock. Love., November 2010,204,683
Cookie A,,Kristi, Socks,Sock Innovation, April 2009,204,237
Cookie A,,Ernie, Socks,Cookie A Sock Club 2013, February 2013,203,60
Cookie A,,Elm, Socks,The Knitter's Book of Socks, October 2011,190,614
Cookie A,,Sake, Socks,Knit. Sock. Love., November 2010,187,478
Cookie A,,Raven Swirl Socks, Socks,Blue Moon Fiber Arts, November 2009,168,259
Cookie A,,Red Herring, Socks,"Knitty, Fall 2006", September 2006,168,1241
Cookie A,,Asymmetrical Cables, Socks,Sock Knitting Master Class: Innovative Techniques & Patterns, July 2011,167,249
Cookie A,,Newton, Socks,Cookie A Sock Club 2013, February 2013,162,48
Cookie A,,Ellington Socks, Socks,Cookie A. Knitwear Designs, September 2009,147,1944
Cookie A,,Boysenberry Yo, Socks,Cookie A Sock Club 2011, April 2011,143,324
Cookie A,,Trystero, Socks,Cookie A. Knitwear Designs, February 2008,135,748
